,resource_name,type,details,ownership_status,format,format_details,storage_location,storage_location_details,private_public,agency,Respondent Full Name,size,collection_method,Imagery,Continuous,Observational,collection_method_details,name,name2,data_type
228,Gridded National Soil Survey Geographic Database (gNATSGO,dataset,Gridded National Soil Survey Geographic Database (gNATSGO,freeware,geoformat,NA,other,NA,public,ARS,Adler_Paul,unknown,other,FALSE,FALSE,FALSE,NA,gNATSGO,gNATSGO,Soil
236,Global Pest and Disease Database,dataset,"GPDD contains detailed, peer reviewed researched information on invasive insects, diseases and weeds. Information includes hosts, synonyms, distribution, etc.",owned,database,Cold Fusion,local,NA,private,APHIS,Hallberg_Rosemary,1tbplus,observational,FALSE,FALSE,TRUE,NA,Global Pest and Disease Database,Global Pest and Disease Database,Pest/Disease
238,Global pest and disease database + CABI + ARM + Google scholar,dataset,"The link to the most common resources are as follows: 
https://www.gpdd.info/ + 
https://www.cabi.org/cpc + 
https://arm.aphis.edc.usda.gov/ + 
https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm",owned,database,NA,server,NA,private,APHIS,Marahatta_Sharadchandra,unknown,observational,FALSE,FALSE,TRUE,NA,Global Pest and Disease Database,Global Pest and Disease Database,Pest/Disease
237,GIS/Tecq,dataset,Searchable media properties,commercial,geoformat,NA,server,NA,hybrid,RD,Drury_Shawn,1tbplus,continuous,FALSE,TRUE,FALSE,NA,GIS/Tecq,GIS/Tecq,NA
112,Gin Automation Images,dataset,Images collected during gin automation trials and AMS classing data paired with it.,owned,other,"*.jpg, *.tif, *.csv",server,NA,private,ARS,Delhom_Chris,1tbplus,"continuous,imagery",TRUE,TRUE,FALSE,NA,Gin Automation Images,Gin Automation Images,NA
63,GHG dataset,dataset,"Collection of greenhouse gas (CO2, CH4, N2O) emission data from irrigated rice, cotton, maize and soybean fields.
Also include ancillary data such as soil temperature, air temperature, soil water content, floodwater height, crop growth stage.",shared,excel,NA,other,two back up copies in external and internal drives,hybrid,ARS,Adviento-Borbe_Arlene,1tb,observational,FALSE,FALSE,TRUE,NA,GHG dataset,GHG dataset,Soil Water
298,Geospatial Datasets,dataset,Geospatial repository for USDA Rural Development geospatial data.,owned,geoformat,Oracle,server,NA,hybrid,RD,Cherniss_Jerad,1tb,other,FALSE,FALSE,FALSE,Data collected by USDA Rural Development business systems,Geospatial Datasets,Geospatial Datasets,NA
132,GeoData,dataset,GeoData (https://geodata.nal.usda.gov) is a geospatial data catalog at the National Agricultural Library.  It showcases geospatial catalog records internally stored and exportable as ISO 19115 geospatial metadata records.,opensource,geoformat,NA,local,GeoData will be migrated to an Azure Gov Cloud by Aug 2022.,public,ARS,Chan_Ming,1tbplus,"continuous,imagery,observational",TRUE,TRUE,TRUE,NA,GeoData,GeoData,NA
62,Genomic Sequencing data,dataset,"Genomic data from sequenced samples. End point of the data is often deposited into the NCBI SRA

https://www.ncbi.nlm.nih.gov/sra",opensource,other,fasta or binary (Bam) format,local,Stored directly on external storage drives. Online backups to cloud sources such as box.,public,ARS,SAELAO_PEROT,1tb,observational,FALSE,FALSE,TRUE,NA,Genomic data,Genomic data,Genomic
70,Hymenoptera Genome Database,dataset,"site is at https://hymenoptera.elsiklab.missouri.edu, citation is at doi: 10.1007/978-1-4939-7737-6_17
HymenopteraMine is a data mining tool that integrates all of the genomes in HGD with biological data from a variety of sources. The goal of HymenopteraMine is to accelerate genomics analysis by enabling researchers without scripting skills to create and export customized annotation datasets merged with their own research data for use in downstream analyses. HymenopteraMine facilitates cross-species data mining based on orthology and supports meta-analyses by tracking identifiers across gene sets and genome assemblies.",shared,other,several,other,unknown,hybrid,ARS,Allen_Margaret,unknown,observational,FALSE,FALSE,TRUE,NA,Genomic data,Genomic data,Genomic
79,"Genomics (plants, animals, microbial sequences) and Bioinformatic databases",dataset,"primarily use genome assembly/annotation tools through PATRIC, which has a more researcher-friendly user interface than similar tools available in Ceres, but also has substantial wait times for processing and uploads. If improvements in the user interface are a possibility, then I think there would be benefits for productivity. also use National Center for Biotechnology Information (NCBI) database with bio-project PRJNA674638 for secondary annotations by the Prokaryotic  Genotype Annotation Pipeline (PGAP) (Zhao et and Integrated Microbial Genomics (IMG) . Also use BAGEL4 for bacteriocins identification. Also use Geneious software (http://www.geneious.com/); Phylogenetics tree emulated MLST; Codon Tree; The CRISPRCasTyper pipeline; the CRISPRViz pipeline; GenomeComparisonSKD v. 0.0.7 apps Compute Pangenome 179 and Compare Genomes from Pangenome;",opensource,database,NA,cloud,NA,hybrid,ARS,Qureshi_Muquarrab,1tb,observational,FALSE,FALSE,TRUE,NA,Genomic data,Genomic data,Genomic
84,Genomics data,dataset,"Genetics, genomics, SNP data",owned,excel,NA,cloud,NA,hybrid,ARS,Purdy_Phil,1tb,observational,FALSE,FALSE,TRUE,NA,Genomic data,Genomic data,Genomic
110,Animal-Genetic Resource Information Network,dataset,"Animal-GRIN maintain information on the animals ARS has collected in its gene bank. The software is custom made for the unique purposes of gene banking. It is constructed and maintained in collaboration with the countries of Canada and Brazil.  
https://agrin.ars.usda.gov/main_webpage_dev/ars?language=EN&record_source=US",shared,database,SQL with various software used in the construction,cloud,As mandated by ARS it is stored and backup on the cloud service.,hybrid,ARS,Blackburn_Harvey,1tbplus,"continuous,imagery,other",TRUE,TRUE,FALSE,various methods of data collection including contributions from the private sector.,Genomic data,Genomic data,Genomic
129,High-frequency proximal plant phenotyping custom applications,dataset,"Custom developed collections of sensors and data acquisition systems are used to measure geo-located crop plants and micro-meteorological values, in a proximal space, typically at 1-20Hz in-field experimentation plots. A specific methodology has been created that controls data quality and supports crop management, breeding, and simulation modeling.",owned,excel,CSV text and imagery with annotation notation,local,Typically 100MB to 1.5GB are produced per day per experiment,hybrid,ARS,Conley_Matthew,1tb,"continuous,imagery,observational",TRUE,TRUE,TRUE,NA,Genomic data,Genomic data,Genomic
144,Illumina RNA-Seq biosequence data,dataset,Sequencing reads of mRNA populations from a variety of insect species. These data are used to quantitatively explore gene expression and qualitatively explore various gene families of interest.,owned,other,xz-compressed fastq,server,also stored at NCBI SRA,hybrid,ARS,Sparks_Michael,1tb,observational,FALSE,FALSE,TRUE,NA,Genomic data,Genomic data,Genomic
145,Illumina genome biosequence data,dataset,Genome sequencing reads from various microbial species generated by an in-house sequencing instrument.,owned,other,xz-compressed fastq,server,also stored at NCBI WGS,hybrid,ARS,Sparks_Michael,100gb,observational,FALSE,FALSE,TRUE,NA,Genomic data,Genomic data,Genomic
146,PacBio genome biosequence data,dataset,Genome sequencing reads from a variety of insect species generated by PacBio sequencing instruments operated by third-party service providers.,owned,other,BAM,server,also stored at NCBI WGS,hybrid,ARS,Sparks_Michael,1tb,observational,FALSE,FALSE,TRUE,NA,Genomic data,Genomic data,Genomic
245,Sequence Data,dataset,ABI image data for genotype analysis,owned,other,.FSA,local,External Hard Disk,hybrid,ARS,Deng_Dewayne,1tbplus,continuous,FALSE,TRUE,FALSE,NA,Genomic data,Genomic data,Genomic
263,Stored product insect genomes + annotations,dataset,"We have numerous stored product insect assemblies that we can use for comparative genomics.  While they will be deposited into NCBI and made available for public use, I am considering developing some comparative genomics platforms similar to what is available for plants to help everyday users better access and use these tools.  In addition, our unit has a number of decision support tools and other projects in development that may fall under the purview of this initiative and I am interested in learning more about it.",owned,other,GFF + Faasta,server,NA,hybrid,ARS,Scully_Erin,1tb,observational,FALSE,FALSE,TRUE,NA,Genomic data,Genomic data,Genomic
366,Sequence Read Archive (SRA),dataset,"https://www.ncbi.nlm.nih.gov/sra
Sequence Read Archive (SRA) data, available through multiple cloud providers and NCBI servers, is the largest publicly available repository of high throughput sequencing data. The archive accepts data from all branches of life as well as metagenomic and environmental surveys. SRA stores raw sequencing data and alignment information to enhance reproducibility and facilitate new discoveries through data analysis.",opensource,database,NA,other,Data is stored at NCBI,public,ARS,Schroeder_Steven,1tbplus,observational,FALSE,FALSE,TRUE,NA,Genomic data,Genomic data,Genomic
371,Ensembl Genome Database,dataset,"https://www.ensembl.org
Ensembl is a genome browser for vertebrate genomes that supports research in comparative genomics, evolution, sequence variation and transcriptional regulation. Ensembl annotate genes, computes multiple alignments, predicts regulatory function and collects disease data.",opensource,database,NA,other,Data is hosted/stored at Ensembl,public,ARS,Schroeder_Steven,unknown,observational,FALSE,FALSE,TRUE,NA,Genomic data,Genomic data,Genomic
319,GBIF,dataset,https://www.gbif.org/,opensource,database,NA,cloud,NA,public,APHIS,Shen_Zhengxing,unknown,observational,FALSE,FALSE,TRUE,NA,GBIF,GBIF,NA
267,GADM,dataset,https://gadm.org/data.html,opensource,geoformat,GDB,local,NA,public,FAS,Blackburn_Justin,100gb,observational,FALSE,FALSE,TRUE,NA,GADM,GADM,NA
200,Furrow erosion data set,dataset,Data set assembled from furrow erosion data extracted from multiple published reports and other ARS researchers.,owned,excel,NA,local,NA,private,ARS,King_Bradley,100gb,observational,FALSE,FALSE,TRUE,NA,Furrow erosion data set,Furrow erosion data set,Soil
15,FSVeg,dataset,"The Field Sampled Vegetation database is a national tabular database developed by the USFS for collecting and storing forest vegetation plot information. Development and maintenance is by the Forest Management Service Center (FMSC), Natural Resource Manager unit in Fort Collins, CO. The mobile collection app is ExamsPDR and the desktop version is ExamsPC.",owned,database,SQL,server,NA,private,FS,Mueller_Andrew,unknown,observational,FALSE,FALSE,TRUE,NA,FSVeg,FSVeg,Vegetation
171,FSA Map data,dataset,https://usdaonline.maps.arcgis.com/apps/PublicGallery/index.html?appid=6b0a5a88ec974edca380060da1a8451c,opensource,other,Rest Service API,other,Rest Service API,public,ARS,Carter_Jennifer,unknown,imagery,TRUE,FALSE,FALSE,NA,FSA Map data,FSA Map data,NA
31,Forest Service Research Data Archive,dataset,This is a collection of citable GIS and non-GIS research datasets with full metadata. The collection catalog currently holds >750 datasets and is available at https://www.fs.usda.gov/rds/archive/,owned,other,"The datasets span Excel/CSV, GIS, and database formats.",server,"Due to their size, some datasets are stored in AWS",public,FS,Rugg_Dave,1tbplus,"continuous, observational, other",FALSE,TRUE,TRUE,"The published datasets include continuous monitoring data (often measured over decades), observational data, and modeled data.",Forest Service Research Data Archive,Forest Service Research Data Archive,NA
30,Forest Inventory and Analysis Database (FIADB),dataset,"FIA - Field forest inventory data for statewide and nationwide forect condition estimation; National Woodland Owner's Survey for  land management opinions from private landowner's; Timber Products Output survey of private mill owners' production data.
fia.fs.fed.us",owned,database,NA,server,NA,hybrid,FS,Ellenwood_James,1tb,"continuous,observational",FALSE,TRUE,TRUE,NA,Forest Inventory and Analysis Database (FIADB),Forest Inventory and Analysis Database (FIADB),Vegetation
183,FIA DataMart,dataset,"The FIA DataMart allows visitors to download raw data files, standard tables, SQLite databases, and a desktop EVALIDator reporting tool. DataMart also provides access to the FIA State reports, FIADB most recent load history, API EVALIDator, and FIADB User Guides.",owned,database,Oracle,server,N/A,hybrid,FS,Werstak_Charles,unknown,observational,FALSE,FALSE,TRUE,NA,Forest Inventory and Analysis Database (FIADB),Forest Inventory and Analysis Database (FIADB),Vegetation
184,FIA DataMart,dataset,"The FIA DataMart allows visitors to download raw data files, standard tables, SQLite databases, and a desktop EVALIDator reporting tool. DataMart also provides access to the FIA State reports, FIADB most recent load history, API EVALIDator, and FIADB User Guides.",owned,database,Oracle,server,N/A,public,FS,Werstak_Charles,unknown,observational,FALSE,FALSE,TRUE,NA,Forest Inventory and Analysis Database (FIADB),Forest Inventory and Analysis Database (FIADB),Vegetation
